Municipios;Distritos;Secciones;Indicadores de renta media y mediana;Periodo;Total
28079 Madrid;2807901 Madrid distrito 01;2807901034 Madrid sección 01034;Renta neta media por persona;2022;12.173
28079 Madrid;2807901 Madrid distrito 01;2807901034 Madrid sección 01034;Renta neta media por hogar;2022;25.529
28079 Madrid;2807901 Madrid distrito 01;2807901034 Madrid sección 01034;Media de la renta por unidad de consumo;2022;16.153
28079 Madrid;2807901 Madrid distrito 01;2807901034 Madrid sección 01034;Mediana de la renta por unidad de consumo;2022;12.950
28079 Madrid;2807901 Madrid distrito 01;2807901034 Madrid sección 01034;Renta bruta media por persona;2022;14.784
28079 Madrid;2807901 Madrid distrito 01;2807901034 Madrid sección 01034;Renta bruta media por hogar;2022;31.003
28079 Madrid;2807901 Madrid distrito 01;2807901035 Madrid sección 01035;Renta neta media por persona;2022;14.193
28079 Madrid;2807901 Madrid distrito 01;2807901035 Madrid sección 01035;Renta neta media por hogar;2022;30.744
28079 Madrid;2807901 Madrid distrito 01;2807901035 Madrid sección 01035;Media de la renta por unidad de consumo;2022;19.440
28079 Madrid;2807901 Madrid distrito 01;2807901035 Madrid sección 01035;Mediana de la renta por unidad de consumo;2022;15.750
28079 Madrid;2807901 Madrid distrito 01;2807901035 Madrid sección 01035;Renta bruta media por persona;2022;17.810
28079 Madrid;2807901 Madrid distrito 01;2807901035 Madrid sección 01035;Renta bruta media por hogar;2022;38.578
28079 Madrid;2807901 Madrid distrito 01;2807901036 Madrid sección 01036;Renta neta media por persona;2022;15.438
28079 Madrid;2807901 Madrid distrito 01;2807901036 Madrid sección 01036;Renta neta media por hogar;2022;29.934
28079 Madrid;2807901 Madrid distrito 01;2807901036 Madrid sección 01036;Media de la renta por unidad de consumo;2022;20.543
28079 Madrid;2807901 Madrid distrito 01;2807901036 Madrid sección 01036;Mediana de la renta por unidad de consumo;2022;17.150
28079 Madrid;2807901 Madrid distrito 01;2807901036 Madrid sección 01036;Renta bruta media por persona;2022;18.903
28079 Madrid;2807901 Madrid distrito 01;2807901036 Madrid sección 01036;Renta bruta media por hogar;2022;36.654
28079 Madrid;2807901 Madrid distrito 01;2807901037 Madrid sección 01037;Renta neta media por persona;2022;15.437
28079 Madrid;2807901 Madrid distrito 01;2807901037 Madrid sección 01037;Renta neta media por hogar;2022;32.372
28079 Madrid;2807901 Madrid distrito 01;2807901037 Madrid sección 01037;Media de la renta por unidad de consumo;2022;20.856
28079 Madrid;2807901 Madrid distrito 01;2807901037 Madrid sección 01037;Mediana de la renta por unidad de consumo;2022;17.850
28079 Madrid;2807901 Madrid distrito 01;2807901037 Madrid sección 01037;Renta bruta media por persona;2022;18.939
28079 Madrid;2807901 Madrid distrito 01;2807901037 Madrid sección 01037;Renta bruta media por hogar;2022;39.716
28079 Madrid;2807901 Madrid distrito 01;2807901038 Madrid sección 01038;Renta neta media por persona;2022;13.664
28079 Madrid;2807901 Madrid distrito 01;2807901038 Madrid sección 01038;Renta neta media por hogar;2022;27.718
28079 Madrid;2807901 Madrid distrito 01;2807901038 Madrid sección 01038;Media de la renta por unidad de consumo;2022;18.355
28079 Madrid;2807901 Madrid distrito 01;2807901038 Madrid sección 01038;Mediana de la renta por unidad de consumo;2022;15.050
28079 Madrid;2807901 Madrid distrito 01;2807901038 Madrid sección 01038;Renta bruta media por persona;2022;16.531
28079 Madrid;2807901 Madrid distrito 01;2807901038 Madrid sección 01038;Renta bruta media por hogar;2022;33.535
28079 Madrid;2807901 Madrid distrito 01;2807901039 Madrid sección 01039;Renta neta media por persona;2022;15.137
28079 Madrid;2807901 Madrid distrito 01;2807901039 Madrid sección 01039;Renta neta media por hogar;2022;30.708
28079 Madrid;2807901 Madrid distrito 01;2807901039 Madrid sección 01039;Media de la renta por unidad de consumo;2022;20.428
28079 Madrid;2807901 Madrid distrito 01;2807901039 Madrid sección 01039;Mediana de la renta por unidad de consumo;2022;16.450
28079 Madrid;2807901 Madrid distrito 01;2807901039 Madrid sección 01039;Renta bruta media por persona;2022;18.508
28079 Madrid;2807901 Madrid distrito 01;2807901039 Madrid sección 01039;Renta bruta media por hogar;2022;37.546
28079 Madrid;2807901 Madrid distrito 01;2807901040 Madrid sección 01040;Renta neta media por persona;2022;15.964
28079 Madrid;2807901 Madrid distrito 01;2807901040 Madrid sección 01040;Renta neta media por hogar;2022;34.120
28079 Madrid;2807901 Madrid distrito 01;2807901040 Madrid sección 01040;Media de la renta por unidad de consumo;2022;21.850
28079 Madrid;2807901 Madrid distrito 01;2807901040 Madrid sección 01040;Mediana de la renta por unidad de consumo;2022;17.150
28079 Madrid;2807901 Madrid distrito 01;2807901040 Madrid sección 01040;Renta bruta media por persona;2022;19.794
28079 Madrid;2807901 Madrid distrito 01;2807901040 Madrid sección 01040;Renta bruta media por hogar;2022;42.306
28079 Madrid;2807901 Madrid distrito 01;2807901041 Madrid sección 01041;Renta neta media por persona;2022;17.089
28079 Madrid;2807901 Madrid distrito 01;2807901041 Madrid sección 01041;Renta neta media por hogar;2022;34.290
28079 Madrid;2807901 Madrid distrito 01;2807901041 Madrid sección 01041;Media de la renta por unidad de consumo;2022;22.940
28079 Madrid;2807901 Madrid distrito 01;2807901041 Madrid sección 01041;Mediana de la renta por unidad de consumo;2022;17.850
28079 Madrid;2807901 Madrid distrito 01;2807901041 Madrid sección 01041;Renta bruta media por persona;2022;21.435
28079 Madrid;2807901 Madrid distrito 01;2807901041 Madrid sección 01041;Renta bruta media por hogar;2022;43.010
28079 Madrid;2807901 Madrid distrito 01;2807901042 Madrid sección 01042;Renta neta media por persona;2022;16.194
28079 Madrid;2807901 Madrid distrito 01;2807901042 Madrid sección 01042;Renta neta media por hogar;2022;33.616
28079 Madrid;2807901 Madrid distrito 01;2807901042 Madrid sección 01042;Media de la renta por unidad de consumo;2022;22.058
28079 Madrid;2807901 Madrid distrito 01;2807901042 Madrid sección 01042;Mediana de la renta por unidad de consumo;2022;18.200
28079 Madrid;2807901 Madrid distrito 01;2807901042 Madrid sección 01042;Renta bruta media por persona;2022;19.887
28079 Madrid;2807901 Madrid distrito 01;2807901042 Madrid sección 01042;Renta bruta media por hogar;2022;41.283
28079 Madrid;2807901 Madrid distrito 01;2807901043 Madrid sección 01043;Renta neta media por persona;2022;13.739
28079 Madrid;2807901 Madrid distrito 01;2807901043 Madrid sección 01043;Renta neta media por hogar;2022;27.654
28079 Madrid;2807901 Madrid distrito 01;2807901043 Madrid sección 01043;Media de la renta por unidad de consumo;2022;18.351
28079 Madrid;2807901 Madrid distrito 01;2807901043 Madrid sección 01043;Mediana de la renta por unidad de consumo;2022;15.050
28079 Madrid;2807901 Madrid distrito 01;2807901043 Madrid sección 01043;Renta bruta media por persona;2022;16.803
28079 Madrid;2807901 Madrid distrito 01;2807901043 Madrid sección 01043;Renta bruta media por hogar;2022;33.822
28079 Madrid;2807901 Madrid distrito 01;2807901045 Madrid sección 01045;Renta neta media por persona;2022;18.444
28079 Madrid;2807901 Madrid distrito 01;2807901045 Madrid sección 01045;Renta neta media por hogar;2022;37.065
28079 Madrid;2807901 Madrid distrito 01;2807901045 Madrid sección 01045;Media de la renta por unidad de consumo;2022;24.488
